Session,Week,Unit,Unit title,Lesson code,Lesson type,CEFR,Book alignment,Focus
1,1,1,"Primeiros contatos: sala de aula, cumprimentos e sobrevivência",A,"Panorama, vocabulário e linguagem funcional",Pre-A1,Muito Prazer Unit 1 support,greet and take leave appropriately
2,1,1,"Primeiros contatos: sala de aula, cumprimentos e sobrevivência",B,"Gramática, pronúncia e prática controlada",Pre-A1,Muito Prazer Unit 1 support,understand core classroom instructions
3,1,1,"Primeiros contatos: sala de aula, cumprimentos e sobrevivência",C,"Escuta, interação e estratégias de compreensão",Pre-A1,Muito Prazer Unit 1 support,say and spell a name
4,2,1,"Primeiros contatos: sala de aula, cumprimentos e sobrevivência",D,"Leitura, escrita e construção de texto",Pre-A1,Muito Prazer Unit 1 support,ask for repetition and clarification
5,2,1,"Primeiros contatos: sala de aula, cumprimentos e sobrevivência",E,"Tarefa do mundo real, cultura e projeto",Pre-A1,Muito Prazer Unit 1 support,complete a basic learner profile
6,2,1,"Primeiros contatos: sala de aula, cumprimentos e sobrevivência",F,"Consolidação, avaliação da unidade e feedback",Pre-A1,Muito Prazer Unit 1 support,complete a basic learner profile
7,3,2,"Identidade, países, nacionalidades e profissões",A,"Panorama, vocabulário e linguagem funcional",Pre-A1/A1,Muito Prazer Unit 1,exchange personal information
8,3,2,"Identidade, países, nacionalidades e profissões",B,"Gramática, pronúncia e prática controlada",Pre-A1/A1,Muito Prazer Unit 1,state nationality and languages
9,3,2,"Identidade, países, nacionalidades e profissões",C,"Escuta, interação e estratégias de compreensão",Pre-A1/A1,Muito Prazer Unit 1,talk about profession or studies
10,4,2,"Identidade, países, nacionalidades e profissões",D,"Leitura, escrita e construção de texto",Pre-A1/A1,Muito Prazer Unit 1,use the alphabet in practical contexts
11,4,2,"Identidade, países, nacionalidades e profissões",E,"Tarefa do mundo real, cultura e projeto",Pre-A1/A1,Muito Prazer Unit 1,introduce another person
12,4,2,"Identidade, países, nacionalidades e profissões",F,"Consolidação, avaliação da unidade e feedback",Pre-A1/A1,Muito Prazer Unit 1,introduce another person
13,5,3,"Família, relações e descrição básica de pessoas",A,"Panorama, vocabulário e linguagem funcional",A1,Muito Prazer Unit 2,identify family members and relationships
14,5,3,"Família, relações e descrição básica de pessoas",B,"Gramática, pronúncia e prática controlada",A1,Muito Prazer Unit 2,describe people respectfully
15,5,3,"Família, relações e descrição básica de pessoas",C,"Escuta, interação e estratégias de compreensão",A1,Muito Prazer Unit 2,state possession and relationship
16,6,3,"Família, relações e descrição básica de pessoas",D,"Leitura, escrita e construção de texto",A1,Muito Prazer Unit 2,ask and answer about household members
17,6,3,"Família, relações e descrição básica de pessoas",E,"Tarefa do mundo real, cultura e projeto",A1,Muito Prazer Unit 2,understand a simple family profile
18,6,3,"Família, relações e descrição básica de pessoas",F,"Consolidação, avaliação da unidade e feedback",A1,Muito Prazer Unit 2,understand a simple family profile
19,7,4,"Números, datas, horas e rotina diária",A,"Panorama, vocabulário e linguagem funcional",A1,Muito Prazer Units 2-3,"say numbers, dates and telephone numbers"
20,7,4,"Números, datas, horas e rotina diária",B,"Gramática, pronúncia e prática controlada",A1,Muito Prazer Units 2-3,tell and ask the time
21,7,4,"Números, datas, horas e rotina diária",C,"Escuta, interação e estratégias de compreensão",A1,Muito Prazer Units 2-3,describe a weekday routine
22,8,4,"Números, datas, horas e rotina diária",D,"Leitura, escrita e construção de texto",A1,Muito Prazer Units 2-3,arrange a simple appointment
23,8,4,"Números, datas, horas e rotina diária",E,"Tarefa do mundo real, cultura e projeto",A1,Muito Prazer Units 2-3,use frequency expressions
24,8,4,"Números, datas, horas e rotina diária",F,"Consolidação, avaliação da unidade e feedback",A1,Muito Prazer Units 2-3,use frequency expressions
25,9,5,"Comida, bebidas, mercado, café e restaurante",A,"Panorama, vocabulário e linguagem funcional",A1,Muito Prazer Unit 4,identify food and drink
26,9,5,"Comida, bebidas, mercado, café e restaurante",B,"Gramática, pronúncia e prática controlada",A1,Muito Prazer Unit 4,express preferences and restrictions
27,9,5,"Comida, bebidas, mercado, café e restaurante",C,"Escuta, interação e estratégias de compreensão",A1,Muito Prazer Unit 4,order politely
28,10,5,"Comida, bebidas, mercado, café e restaurante",D,"Leitura, escrita e construção de texto",A1,Muito Prazer Unit 4,understand prices and menu sections
29,10,5,"Comida, bebidas, mercado, café e restaurante",E,"Tarefa do mundo real, cultura e projeto",A1,Muito Prazer Unit 4,handle a simple restaurant problem
30,10,5,"Comida, bebidas, mercado, café e restaurante",F,"Consolidação, avaliação da unidade e feedback",A1,Muito Prazer Unit 4,handle a simple restaurant problem
31,11,6,"Cidade, transporte, endereços e direções",A,"Panorama, vocabulário e linguagem funcional",A1,Muito Prazer Unit 4 extension,name city places and transport
32,11,6,"Cidade, transporte, endereços e direções",B,"Gramática, pronúncia e prática controlada",A1,Muito Prazer Unit 4 extension,give a destination and address
33,11,6,"Cidade, transporte, endereços e direções",C,"Escuta, interação e estratégias de compreensão",A1,Muito Prazer Unit 4 extension,ask for and follow directions
34,12,6,"Cidade, transporte, endereços e direções",D,"Leitura, escrita e construção de texto",A1,Muito Prazer Unit 4 extension,describe a route
35,12,6,"Cidade, transporte, endereços e direções",E,"Tarefa do mundo real, cultura e projeto",A1,Muito Prazer Unit 4 extension,solve a basic transport problem
36,12,6,"Cidade, transporte, endereços e direções",F,"Consolidação, avaliação da unidade e feedback",A1,Muito Prazer Unit 4 extension,solve a basic transport problem
37,13,7,"Casa, apartamento e bairro",A,"Panorama, vocabulário e linguagem funcional",A1/A2,Muito Prazer Unit 7,describe a home and neighbourhood
38,13,7,"Casa, apartamento e bairro",B,"Gramática, pronúncia e prática controlada",A1/A2,Muito Prazer Unit 7,ask about rooms and facilities
39,13,7,"Casa, apartamento e bairro",C,"Escuta, interação e estratégias de compreensão",A1/A2,Muito Prazer Unit 7,say where objects are
40,14,7,"Casa, apartamento e bairro",D,"Leitura, escrita e construção de texto",A1/A2,Muito Prazer Unit 7,understand a simple property notice
41,14,7,"Casa, apartamento e bairro",E,"Tarefa do mundo real, cultura e projeto",A1/A2,Muito Prazer Unit 7,compare basic housing options
42,14,7,"Casa, apartamento e bairro",F,"Consolidação, avaliação da unidade e feedback",A1/A2,Muito Prazer Unit 7,compare basic housing options
43,15,8,"Compras, roupas, tamanhos, dinheiro e comparação",A,"Panorama, vocabulário e linguagem funcional",A1/A2,Muito Prazer Unit 3 extension,ask prices and sizes
44,15,8,"Compras, roupas, tamanhos, dinheiro e comparação",B,"Gramática, pronúncia e prática controlada",A1/A2,Muito Prazer Unit 3 extension,describe clothes and products
45,15,8,"Compras, roupas, tamanhos, dinheiro e comparação",C,"Escuta, interação e estratégias de compreensão",A1/A2,Muito Prazer Unit 3 extension,compare options
46,16,8,"Compras, roupas, tamanhos, dinheiro e comparação",D,"Leitura, escrita e construção de texto",A1/A2,Muito Prazer Unit 3 extension,understand discounts and payment methods
47,16,8,"Compras, roupas, tamanhos, dinheiro e comparação",E,"Tarefa do mundo real, cultura e projeto",A1/A2,Muito Prazer Unit 3 extension,request exchange or return
48,16,8,"Compras, roupas, tamanhos, dinheiro e comparação",F,"Consolidação, avaliação da unidade e feedback",A1/A2,Muito Prazer Unit 3 extension,request exchange or return
49,17,9,"Corpo, saúde, sintomas, farmácia e autocuidado",A,"Panorama, vocabulário e linguagem funcional",A2,Muito Prazer Unit 10 preview/support,name common body parts and symptoms
50,17,9,"Corpo, saúde, sintomas, farmácia e autocuidado",B,"Gramática, pronúncia e prática controlada",A2,Muito Prazer Unit 10 preview/support,say how one feels
51,17,9,"Corpo, saúde, sintomas, farmácia e autocuidado",C,"Escuta, interação e estratégias de compreensão",A2,Muito Prazer Unit 10 preview/support,ask for basic pharmacy assistance
52,18,9,"Corpo, saúde, sintomas, farmácia e autocuidado",D,"Leitura, escrita e construção de texto",A2,Muito Prazer Unit 10 preview/support,understand simple health advice
53,18,9,"Corpo, saúde, sintomas, farmácia e autocuidado",E,"Tarefa do mundo real, cultura e projeto",A2,Muito Prazer Unit 10 preview/support,know the limits of classroom health language
54,18,9,"Corpo, saúde, sintomas, farmácia e autocuidado",F,"Consolidação, avaliação da unidade e feedback",A2,Muito Prazer Unit 10 preview/support,know the limits of classroom health language
55,19,10,"Lazer, convites, cinema e planos",A,"Panorama, vocabulário e linguagem funcional",A2,Muito Prazer Units 5-6,talk about leisure preferences
56,19,10,"Lazer, convites, cinema e planos",B,"Gramática, pronúncia e prática controlada",A2,Muito Prazer Units 5-6,"make, accept and decline invitations"
57,19,10,"Lazer, convites, cinema e planos",C,"Escuta, interação e estratégias de compreensão",A2,Muito Prazer Units 5-6,negotiate time and place
58,20,10,"Lazer, convites, cinema e planos",D,"Leitura, escrita e construção de texto",A2,Muito Prazer Units 5-6,describe actions happening now
59,20,10,"Lazer, convites, cinema e planos",E,"Tarefa do mundo real, cultura e projeto",A2,Muito Prazer Units 5-6,make immediate future plans
60,20,10,"Lazer, convites, cinema e planos",F,"Consolidação, avaliação da unidade e feedback",A2,Muito Prazer Units 5-6,make immediate future plans
61,21,11,"Trabalho, estudo, tarefas e comunicação profissional",A,"Panorama, vocabulário e linguagem funcional",A2,Original extension - A2,describe work or study responsibilities
62,21,11,"Trabalho, estudo, tarefas e comunicação profissional",B,"Gramática, pronúncia e prática controlada",A2,Original extension - A2,ask for clarification in professional contexts
63,21,11,"Trabalho, estudo, tarefas e comunicação profissional",C,"Escuta, interação e estratégias de compreensão",A2,Original extension - A2,write a simple formal email
64,22,11,"Trabalho, estudo, tarefas e comunicação profissional",D,"Leitura, escrita e construção de texto",A2,Original extension - A2,talk about obligations and deadlines
65,22,11,"Trabalho, estudo, tarefas e comunicação profissional",E,"Tarefa do mundo real, cultura e projeto",A2,Original extension - A2,participate in a short meeting
66,22,11,"Trabalho, estudo, tarefas e comunicação profissional",F,"Consolidação, avaliação da unidade e feedback",A2,Original extension - A2,participate in a short meeting
67,23,12,"Experiências passadas, biografia e acontecimentos concluídos",A,"Panorama, vocabulário e linguagem funcional",A2,Original extension - A2,talk about completed past events
68,23,12,"Experiências passadas, biografia e acontecimentos concluídos",B,"Gramática, pronúncia e prática controlada",A2,Original extension - A2,ask follow-up questions about experiences
69,23,12,"Experiências passadas, biografia e acontecimentos concluídos",C,"Escuta, interação e estratégias de compreensão",A2,Original extension - A2,write a short biography
70,24,12,"Experiências passadas, biografia e acontecimentos concluídos",D,"Leitura, escrita e construção de texto",A2,Original extension - A2,sequence a simple narrative
71,24,12,"Experiências passadas, biografia e acontecimentos concluídos",E,"Tarefa do mundo real, cultura e projeto",A2,Original extension - A2,understand common irregular preterite forms
72,24,12,"Experiências passadas, biografia e acontecimentos concluídos",F,"Consolidação, avaliação da unidade e feedback",A2,Original extension - A2,understand common irregular preterite forms
73,25,13,"Infância, hábitos antigos e descrição no passado",A,"Panorama, vocabulário e linguagem funcional",A2/B1,Original extension - A2/B1,describe past habits and settings
74,25,13,"Infância, hábitos antigos e descrição no passado",B,"Gramática, pronúncia e prática controlada",A2/B1,Original extension - A2/B1,contrast ongoing background with completed events
75,25,13,"Infância, hábitos antigos e descrição no passado",C,"Escuta, interação e estratégias de compreensão",A2/B1,Original extension - A2/B1,talk about childhood and former routines
76,26,13,"Infância, hábitos antigos e descrição no passado",D,"Leitura, escrita e construção de texto",A2/B1,Original extension - A2/B1,understand narrative context
77,26,13,"Infância, hábitos antigos e descrição no passado",E,"Tarefa do mundo real, cultura e projeto",A2/B1,Original extension - A2/B1,write a past-description paragraph
78,26,13,"Infância, hábitos antigos e descrição no passado",F,"Consolidação, avaliação da unidade e feedback",A2/B1,Original extension - A2/B1,write a past-description paragraph
79,27,14,"Viagens, hospedagem, turismo e planos futuros",A,"Panorama, vocabulário e linguagem funcional",A2/B1,Original extension - A2/B1,plan and discuss a trip
80,27,14,"Viagens, hospedagem, turismo e planos futuros",B,"Gramática, pronúncia e prática controlada",A2/B1,Original extension - A2/B1,book and check into accommodation
81,27,14,"Viagens, hospedagem, turismo e planos futuros",C,"Escuta, interação e estratégias de compreensão",A2/B1,Original extension - A2/B1,talk about future intentions and predictions
82,28,14,"Viagens, hospedagem, turismo e planos futuros",D,"Leitura, escrita e construção de texto",A2/B1,Original extension - A2/B1,request information politely
83,28,14,"Viagens, hospedagem, turismo e planos futuros",E,"Tarefa do mundo real, cultura e projeto",A2/B1,Original extension - A2/B1,handle common travel problems
84,28,14,"Viagens, hospedagem, turismo e planos futuros",F,"Consolidação, avaliação da unidade e feedback",A2/B1,Original extension - A2/B1,handle common travel problems
85,29,15,"Serviços, documentos, reclamações e solução de problemas",A,"Panorama, vocabulário e linguagem funcional",B1,Original extension - A2/B1,request services and documents
86,29,15,"Serviços, documentos, reclamações e solução de problemas",B,"Gramática, pronúncia e prática controlada",B1,Original extension - A2/B1,describe a problem precisely
87,29,15,"Serviços, documentos, reclamações e solução de problemas",C,"Escuta, interação e estratégias de compreensão",B1,Original extension - A2/B1,make a polite complaint
88,30,15,"Serviços, documentos, reclamações e solução de problemas",D,"Leitura, escrita e construção de texto",B1,Original extension - A2/B1,understand procedural instructions
89,30,15,"Serviços, documentos, reclamações e solução de problemas",E,"Tarefa do mundo real, cultura e projeto",B1,Original extension - A2/B1,negotiate a practical solution
90,30,15,"Serviços, documentos, reclamações e solução de problemas",F,"Consolidação, avaliação da unidade e feedback",B1,Original extension - A2/B1,negotiate a practical solution
91,31,16,"Tecnologia, comunicação digital e mídia",A,"Panorama, vocabulário e linguagem funcional",B1,Original extension - B1,talk about technology use
92,31,16,"Tecnologia, comunicação digital e mídia",B,"Gramática, pronúncia e prática controlada",B1,Original extension - B1,give digital instructions
93,31,16,"Tecnologia, comunicação digital e mídia",C,"Escuta, interação e estratégias de compreensão",B1,Original extension - B1,evaluate information sources
94,32,16,"Tecnologia, comunicação digital e mídia",D,"Leitura, escrita e construção de texto",B1,Original extension - B1,participate in an online interaction
95,32,16,"Tecnologia, comunicação digital e mídia",E,"Tarefa do mundo real, cultura e projeto",B1,Original extension - B1,write a clear support message
96,32,16,"Tecnologia, comunicação digital e mídia",F,"Consolidação, avaliação da unidade e feedback",B1,Original extension - B1,write a clear support message
97,33,17,"Tempo, clima, meio ambiente e hipóteses",A,"Panorama, vocabulário e linguagem funcional",B1,Original extension - B1,describe weather and climate
98,33,17,"Tempo, clima, meio ambiente e hipóteses",B,"Gramática, pronúncia e prática controlada",B1,Original extension - B1,discuss environmental habits
99,33,17,"Tempo, clima, meio ambiente e hipóteses",C,"Escuta, interação e estratégias de compreensão",B1,Original extension - B1,make recommendations and express uncertainty
100,34,17,"Tempo, clima, meio ambiente e hipóteses",D,"Leitura, escrita e construção de texto",B1,Original extension - B1,understand a forecast or warning
101,34,17,"Tempo, clima, meio ambiente e hipóteses",E,"Tarefa do mundo real, cultura e projeto",B1,Original extension - B1,propose a community action
102,34,17,"Tempo, clima, meio ambiente e hipóteses",F,"Consolidação, avaliação da unidade e feedback",B1,Original extension - B1,propose a community action
103,35,18,"Opiniões, sociedade, cidadania e argumentação",A,"Panorama, vocabulário e linguagem funcional",B1,Original extension - B1,express and support an opinion
104,35,18,"Opiniões, sociedade, cidadania e argumentação",B,"Gramática, pronúncia e prática controlada",B1,Original extension - B1,agree and disagree respectfully
105,35,18,"Opiniões, sociedade, cidadania e argumentação",C,"Escuta, interação e estratégias de compreensão",B1,Original extension - B1,summarise contrasting viewpoints
106,36,18,"Opiniões, sociedade, cidadania e argumentação",D,"Leitura, escrita e construção de texto",B1,Original extension - B1,discuss community issues
107,36,18,"Opiniões, sociedade, cidadania e argumentação",E,"Tarefa do mundo real, cultura e projeto",B1,Original extension - B1,write a structured opinion text
108,36,18,"Opiniões, sociedade, cidadania e argumentação",F,"Consolidação, avaliação da unidade e feedback",B1,Original extension - B1,write a structured opinion text
109,37,19,"Narrativas complexas, imprevistos e comunicação de crise",A,"Panorama, vocabulário e linguagem funcional",B1,Original extension - B1,narrate a problem coherently
110,37,19,"Narrativas complexas, imprevistos e comunicação de crise",B,"Gramática, pronúncia e prática controlada",B1,Original extension - B1,"distinguish background, event and consequence"
111,37,19,"Narrativas complexas, imprevistos e comunicação de crise",C,"Escuta, interação e estratégias de compreensão",B1,Original extension - B1,report what another person said
112,38,19,"Narrativas complexas, imprevistos e comunicação de crise",D,"Leitura, escrita e construção de texto",B1,Original extension - B1,ask for urgent but proportionate help
113,38,19,"Narrativas complexas, imprevistos e comunicação de crise",E,"Tarefa do mundo real, cultura e projeto",B1,Original extension - B1,write an incident account
114,38,19,"Narrativas complexas, imprevistos e comunicação de crise",F,"Consolidação, avaliação da unidade e feedback",B1,Original extension - B1,write an incident account
115,39,20,"Integração B1: projetos, fluência, revisão e próximos passos",A,"Panorama, vocabulário e linguagem funcional",B1,Original extension - B1 consolidation,"integrate speaking, listening, reading and writing"
116,39,20,"Integração B1: projetos, fluência, revisão e próximos passos",B,"Gramática, pronúncia e prática controlada",B1,Original extension - B1 consolidation,adapt register to informal and formal situations
117,39,20,"Integração B1: projetos, fluência, revisão e próximos passos",C,"Escuta, interação e estratégias de compreensão",B1,Original extension - B1 consolidation,sustain a structured presentation
118,40,20,"Integração B1: projetos, fluência, revisão e próximos passos",D,"Leitura, escrita e construção de texto",B1,Original extension - B1 consolidation,respond to follow-up questions
119,40,20,"Integração B1: projetos, fluência, revisão e próximos passos",E,"Tarefa do mundo real, cultura e projeto",B1,Original extension - B1 consolidation,plan continued independent learning
120,40,20,"Integração B1: projetos, fluência, revisão e próximos passos",F,"Consolidação, avaliação da unidade e feedback",B1,Original extension - B1 consolidation,plan continued independent learning
