number,category,title,slug,word_count,cta,image
"1","Language Immersion","Why Study Portuguese in Brazil Instead of Only Online","why-study-portuguese-in-brazil","1569","Turn Portuguese from a subject into part of your daily life","/assets/media/blog/why-study-portuguese-in-brazil.svg"
"2","Language Immersion","How Daily Life Turns Portuguese Into a Living Language","daily-life-living-portuguese-language","1558","Explore a programme built around real communication","/assets/media/blog/daily-life-living-portuguese-language.svg"
"3","Language Immersion","From Beginner to Independent: A Realistic Language Journey in Brazil","beginner-to-independent-portuguese-journey","1553","See the 40-week academic pathway","/assets/media/blog/beginner-to-independent-portuguese-journey.svg"
"4","Language Immersion","Brazilian Portuguese: Listening Beyond the Textbook","brazilian-portuguese-listening-beyond-textbook","1551","Build stronger listening in Brazil","/assets/media/blog/brazilian-portuguese-listening-beyond-textbook.svg"
"5","Language Immersion","Learning Portuguese Through Culture, Community and Conversation","learning-portuguese-culture-community-conversation","1528","Design your language-and-culture experience","/assets/media/blog/learning-portuguese-culture-community-conversation.svg"
"6","Student Life in Brazil","What a 15-Hour Language Study Week in Brazil Can Feel Like","15-hour-language-study-week-brazil","1570","View the complete weekly programme","/assets/media/blog/15-hour-language-study-week-brazil.svg"
"7","Student Life in Brazil","How to Build a Balanced Student Routine in Brazil","balanced-student-routine-brazil","1556","Plan your study period with Ashlyn","/assets/media/blog/balanced-student-routine-brazil.svg"
"8","Student Life in Brazil","Preparing Emotionally and Practically for Study Abroad in Brazil","prepare-study-abroad-brazil","1578","Start preparing for your Brazil chapter","/assets/media/blog/prepare-study-abroad-brazil.svg"
"9","Student Life in Brazil","Making Friends and Building Community as an International Student","making-friends-community-student-brazil","1548","Study Portuguese for real connection","/assets/media/blog/making-friends-community-student-brazil.svg"
"10","Student Life in Brazil","How Homework Becomes Exploration in a Brazil Language Programme","homework-exploration-brazil-language-programme","1557","Discover culture-based homework","/assets/media/blog/homework-exploration-brazil-language-programme.svg"
"11","Culture & Identity","Understanding Brazil’s Cultural Diversity Before You Arrive","understanding-brazil-cultural-diversity","1523","Prepare for Brazil with cultural intelligence","/assets/media/blog/understanding-brazil-cultural-diversity.svg"
"12","Culture & Identity","The Brazilian Art of Conversation and Social Connection","brazilian-conversation-social-connection","1532","Learn the language of connection","/assets/media/blog/brazilian-conversation-social-connection.svg"
"13","Culture & Identity","Regional Identity in Brazil: Why One Country Feels Like Many","regional-identity-brazil","1556","Explore Brazil region by region","/assets/media/blog/regional-identity-brazil.svg"
"14","Culture & Identity","Respectful Cultural Adaptation Without Losing Yourself","respectful-cultural-adaptation-brazil","1583","Build confidence without losing yourself","/assets/media/blog/respectful-cultural-adaptation-brazil.svg"
"15","Culture & Identity","What Everyday Brazilian Hospitality Can Teach a Language Student","brazilian-hospitality-language-student","1550","Study for participation, not observation","/assets/media/blog/brazilian-hospitality-language-student.svg"
"16","Cities & Regions","Why Londrina Is a Meaningful Place to Study and Live","why-study-live-londrina-brazil","1551","Discover student life in Londrina","/assets/media/blog/why-study-live-londrina-brazil.svg"
"17","Cities & Regions","Discovering Paraná Beyond the Usual Brazil Itinerary","discover-parana-beyond-usual-itinerary","1544","Make Paraná part of your study story","/assets/media/blog/discover-parana-beyond-usual-itinerary.svg"
"18","Cities & Regions","Studying Portuguese in Southern Brazil","studying-portuguese-southern-brazil","1522","Choose a programme rooted in real Brazil","/assets/media/blog/studying-portuguese-southern-brazil.svg"
"19","Cities & Regions","How to Choose a Brazilian City for Language Immersion","choose-brazilian-city-language-immersion","1584","Discuss the right study setting for you","/assets/media/blog/choose-brazilian-city-language-immersion.svg"
"20","Cities & Regions","From Big Cities to Interior Life: Finding Your Brazil","big-cities-interior-life-brazil","1559","Find the Brazil experience that fits","/assets/media/blog/big-cities-interior-life-brazil.svg"
"21","Food & Everyday Life","Learning Portuguese at the Supermarket, Bakery and Street Market","portuguese-supermarket-bakery-street-market","1536","Practise Portuguese for everyday life","/assets/media/blog/portuguese-supermarket-bakery-street-market.svg"
"22","Food & Everyday Life","Brazilian Food as a Doorway to Language and Belonging","brazilian-food-language-belonging","1551","Taste, talk and learn in Brazil","/assets/media/blog/brazilian-food-language-belonging.svg"
"23","Food & Everyday Life","Coffee Culture in Paraná and the Language of Everyday Encounters","parana-coffee-culture-language","1531","Bring coffee culture into your classes","/assets/media/blog/parana-coffee-culture-language.svg"
"24","Food & Everyday Life","Eating Like a Local: Menus, Markets and Regional Flavours","eating-local-brazil-menus-markets","1524","Learn the Portuguese behind the menu","/assets/media/blog/eating-local-brazil-menus-markets.svg"
"25","Food & Everyday Life","Practical Portuguese for Housing, Transport and Daily Errands","practical-portuguese-housing-transport-errands","1523","Prepare for practical life in Brazil","/assets/media/blog/practical-portuguese-housing-transport-errands.svg"
